dlga_award_fief_to_vassal:award_fief_to_vassal_defer|I wish to defer the appointment of a lord, until I take the counsel of my subjects
dlga_convince_friendship:convince_friendship_verify|You've done well by me in the past, {playername}, and for that I will go along with your request, but know that I do not like you using our relationship this way.
dlga_convince_friendship_verify:convince_friendship_go_on|I am sorry, my friend, but I need your help in this.
dlga_convince_friendship_verify:lord_pretalk|If it will not please you, then I'll try something else.
dlga_convince_friendship_go_on:convince_accept|All right then, {playername}, I will accept this for your sake. But remember, you owe me for this.
dlga_convince_friendship:lord_pretalk|I don't think I owe you such a favor {playername}. I see no reason to accept this for you.
dlga_convince_friendship:lord_pretalk.1|Is this a joke? You've some nerve asking me for favours, {playername}, and let me assure you you'll get none.
dlga_convince_persuade_begin:convince_persuade_begin_2|Very well. Make your case.
dlga_convince_persuade_begin_2:convince_persuade|[Attempt to persuade]
dlga_convince_persuade_begin_2:convince_begin|Wait, perhaps there is another way to convince you.
dlga_convince_persuade_begin:lord_pretalk|By God's grace, {playername}! Haven't we talked enough already? I am tired of listening to you, and I do not want to hear any more of it right now.
dlga_convince_persuade:convince_accept|All right, all right. You have persuaded me to it. I'll go ahead with what you suggest.
dlga_convince_persuade:convince_options|You've a point, {playername}, I'll admit that much. However I am not yet convinced I should do as you bid.
dlga_convince_persuade:convince_options.1|Enough, {playername}. You've a lot of arguments, but I find none of them truly convincing. I stand by what I said before.
dlga_convince_persuade:convince_options.2|Truthfully, {playername}, I fail to see the virtue of your reasoning. What you ask for makes even less sense now than it did before.
dlga_start:siege_won_seneschal_1|I must congratulate you on your victory, my {lord/lady}. Welcome to {s1}. We, the housekeepers of this castle, are at your service.
dlga_siege_won_seneschal_1:siege_won_seneschal_2|Are you the seneschal?
dlga_siege_won_seneschal_2:siege_won_seneschal_3|Indeed I am, my {lord/lady}. I have always served the masters of {s1} to the best of my ability, whichever side they might be on. Thus you may count on my utmost loyalty for as long as you are the {lord/lady} of this place. Now, do you intend to keep me on as the seneschal? I promise you will not be disappointed.
dlga_siege_won_seneschal_3:siege_won_seneschal_4|Very well, you may keep your post for the time being.
dlga_siege_won_seneschal_3:siege_won_seneschal_4.1|You can stay, but I shall be keeping a close watch on you.
dlga_siege_won_seneschal_4:siege_won_seneschal_5|Thank you, my {lord/lady}. If you do not mind my impudence, may I inquire as to what you wish to do with the castle?
dlga_siege_won_seneschal_5:siege_won_seneschal_6|I will sell it to another lord.
dlga_siege_won_seneschal_5:siege_won_seneschal_6.1|I intend to claim it for myself.
dlga_siege_won_seneschal_5:siege_won_seneschal_list_options|I haven't given it much thought. What are my options?
dlga_siege_won_seneschal_list_options:siege_won_seneschal_list_options_2|According to our laws and traditions, you can do one of several things. First, you could station a garrison here to protect the castle from any immediate counterattacks, then request an audience with some wealthy lord and ask him to make you an offer. It would be worth a tidy sum, believe you me. If you do not wish to sell, then you will have to find yourself a liege lord and protector who would accept homage from you. Without a royal investiture and an army at your back, you would have a difficult time holding on to the castle. Both you and {s1} would become great big targets for any man with a few soldiers and a scrap of ambition. 
dlga_siege_won_seneschal_list_options_2:siege_won_seneschal_list_options_3|What do you mean, a liege lord and protector? I won this place by my own hand, I don't need anyone else!
dlga_siege_won_seneschal_list_options_3:siege_won_seneschal_list_options_4|Of course you don't, my {lord/lady}. However, no lord in the land will recognize your claim to the castle unless it is verified by royal decree. They would call {s1} an outlaw stronghold and take it from you at the earliest opportunity. Surely not even you could stand against a whole army.
dlga_siege_won_seneschal_list_options_4:siege_won_seneschal_6|Hmm. I'll give it some thought.
dlga_siege_won_seneschal_6:close_window|I am very pleased to hear it, my {lord/lady}. I am only trying to serve you to the best of my ability. Now, if at any time you find you have further need of me, I will be in the great hall arranging a smooth handover of the castle to your forces. 
dlga_start:seneschal_intro_1|Good day, {sir/madam}. I do nott believe I've seen you here before. Let me extend my welcome to you as the seneschal of {s1}.
dlga_seneschal_intro_1:seneschal_intro_1a|A pleasure to meet you, {s65}.
dlga_seneschal_intro_1a:seneschal_talk|How can I help you?
dlga_seneschal_intro_1:seneschal_intro_1b|What exactly do you do here?
dlga_seneschal_intro_1b:seneschal_talk|Ah, a seneschal's duties are many, good {sire/woman}. For example, I collect the rents from my lord's estates, I manage the castle's storerooms, I deal with the local peasantry, I take care of castle staff, I arrange supplies for the garrison... All mundane matters on this fief are my responsibility, on behalf of my lord. Everything except commanding the soldiers themselves.
dlga_start:seneschal_talk|Good day, {sir/madam}.
dlga_seneschal_pretalk:seneschal_talk|Anything else?
dlga_seneschal_talk:seneschal_ask_something|I would like to ask you a question...
dlga_seneschal_talk:seneschal_ask_about_someone|I wish to know more about someone...
dlga_seneschal_ask_about_someone:seneschal_ask_about_someone_2|Perhaps I may be able to help. Whom did you have in mind?
dlga_seneschal_ask_about_someone_2:seneschal_pretalk|Never mind.
dlga_seneschal_talk:close_window|I must take my leave of you now. Farewell.
dlga_seneschal_ask_something:seneschal_ask_something_2|I'll do what I can to help, of course. What did you wish to ask?
dlga_seneschal_ask_something_2:seneschal_ask_location|Perhaps you know where to find someone...
dlga_seneschal_ask_location:seneschal_ask_location_2|Well, a man in my position does hear a lot of things. Of whom were you thinking?
dlga_seneschal_ask_location_2:seneschal_ask_location_3|{s1}
dlga_seneschal_ask_location_2:seneschal_pretalk|Never mind.
dlga_seneschal_ask_location_3:seneschal_pretalk|{s1}
dlga_start:close_window.33|There! I can see the walls of {s3} in the distance. We've made it safely. Here, take this purse of {reg3} denars, as I promised. I hope we can travel together again someday.
dlga_start:talk_caravan_escort|We've made it this far... Is everything clear up ahead?
dlga_talk_caravan_escort:talk_caravan_escort_2a|There might be bandits nearby. Stay close.
dlga_talk_caravan_escort_2a:close_window|Trust me, {playername}, we're already staying as close to you as we can. Lead the way.
dlga_talk_caravan_escort:talk_caravan_escort_2b|No sign of trouble, we can breathe easy.
dlga_talk_caravan_escort_2b:close_window|I'll breathe easy when we reach {s1} and not a moment sooner. Let's keep moving.
dlga_start:merchant_talk|What do you want? We paid our toll to you less than three days ago.
dlga_start:merchant_talk.1|Hail, friend.
dlga_start:merchant_talk.2|What do you want? We are but simple merchants, we've no quarrel with you, so leave us alone.
dlga_start:merchant_talk.3|Be warned, knave! This caravan is under the protection of {s9}. Step out of our way or you will face his fury!
dlga_start:merchant_talk.4|Yes? What do you want?
dlga_merchant_pretalk:merchant_talk|Anything else?
dlga_merchant_talk:caravan_start_war_quest_1|You are trespassing in the territory of the {s17}. I am confiscating this caravan and all its goods!
dlga_caravan_start_war_quest_1:caravan_start_war_quest_2|What? What nonsense is this? We are at peace with the {s17}, and are free to cross its lands!
dlga_caravan_start_war_quest_2:merchant_attack|We'll see about that! Defend yourselves!
dlga_caravan_start_war_quest_2:close_window|Hmm. Maybe this was all a misunderstanding. Farewell.
dlga_merchant_talk:merchant_talk_offer|I have an offer for you.
dlga_merchant_talk_offer:merchant_talk_offer_2|What is it?
dlga_merchant_talk_offer_2:caravan_offer_protection|I can escort you to your destination for a price.
dlga_merchant_talk_offer_2:merchant_pretalk|Nothing. Forget it
dlga_merchant_talk:merchant_bandit_information|I am hunting a group of bandits with the following description... Have you seen them?
dlga_merchant_bandit_information:merchant_pretalk|{s15}
dlga_merchant_talk:merchant_trip_explanation|Tell me about your journey
dlga_merchant_trip_explanation:merchant_pretalk|We are coming from {s11} and heading to {s12}.{s14}
dlga_merchant_talk:merchant_demand|I demand something from you!
dlga_merchant_demand:merchant_demand_2|What do you want?
dlga_merchant_demand_2:merchant_demand_toll|There is a toll for free passage here!
dlga_merchant_demand_toll:merchant_demand_toll_2|Please, I don't want any trouble. I can give you {reg6} denars, just let us go.
dlga_merchant_demand_toll:merchant_demand_toll_2.1|I don't want any trouble. I can give you {reg6} denars if you'll let us go.
dlga_merchant_demand_toll_2:merchant_demand_toll_accept|Agreed, hand it over and you may go in peace.
dlga_merchant_demand_toll_accept:close_window|Very well then. Here's {reg6} denars. 
dlga_merchant_demand_toll_2:merchant_pretalk|I changed my mind, I can't take your money.
dlga_merchant_demand_toll_2:merchant_attack|No, I want everything you have! [Attack]
dlga_merchant_demand_2:merchant_attack_begin|Hand over your gold and valuables now!
dlga_merchant_demand_2:merchant_pretalk|Nothing. Forget it.
